project_id,title,completion_year,supervisors
BPH000001,MOSQUITO LARVICIDAL ACTIVITY OF TRICHLIA ROKA CHIOV (MELIACEAE)AND HYPTIS SUAVEOLENS POIT (LABIATAE),1995,NGASSAPA
BPH000002,LARVICIDAL ACTIVITY OF ZINGIBER OFFICINALE (ROSCOE) AND CURCUMA LONGA L.(ZINGIBERACEAE) AGAINST ANOPHELINE AND CULICINE MOSQUITO LARVAE,1996,NGASSAPA
BPH000003,ANTIMICROBIAL ACTIVITY OF FOUR TANZANIAN MEDICINAL PLANTS,1997,NGASSAPA
BPH000004,ANTIMICROBINAL ACTIVITY OF THE VOLALE OILS OF PLECTRANTHUS KILIMANDSCHARICA (LABIATAE) AND POLYGALA SPHENOPTERA (POLYGALACEAE),1998,DR.NGASSAPA
BPH000005,ANTIMICROBIAL ACTIVITY OF THE VOLATILE OILS OF PLECTRANTHUS KILIMANDSCHARIKA (LABIATAE) AND POLYGALA SPHENOPTERA (POLYGALACEAE),1998,NGASSAPA
BPH000006,THE EFFECT OF HIBISCUS SABDARIFFA AND LANNEA STUHLMANNII ON BLOOD GLUCOSE IN RABBITS,1999,MOSHI; NGASSAPA
BPH000007,CHEMICAL STUDIES ON ANNEA STUHLMANII (ENG.) (ANACARDIACEA),1999,MUNG’ONG’O; KAPINGU
BPH000008,MOSQUITO REPELLENT AND LARVICIDAL EFFECTS OF PLECTRANTHUS KILIMANDSCHARIKA AND OCIMUM TENUIFLORUM (LABIATAE) GROWING IN TANZANIA,2000,NGASSAPA
BPH000009,AN EVALUATION OF LOCALLY AVAILABLE DYES FOR APPLICATION AS ANALYTICAL REAGENTS FOR PHARMACEUTICALS.,2000,CHAMBUSO
BPH000010,THE ANTI-INFLAMMATORY ACTIVITY OF CRUDE EXTRACT OF FICUS SANSIBARICA ON DEXTRAN-70 INDUCED FOOTPAD EDEMA IN RATS.,2001,HAULE
BPH000011,LOCAL DYES AS POTENTIAL REAGENTS FOR ANALYSIS OF DRUGS,2001,CHAMBUSO
BPH000012,THE QUALITY OF DICLOFENAC SODIUM TABLETS AVAILABLE IN DSM.,2002,HAULE; MINZI
BPH000013,ANTITRYPANOSOMAL ACTIVITY OF ARTEMETHER AND PEFLOXACIN,2002,MUNG’ONG’O
BPH000014,"CONTRACEPTIVE USE, KNOWLEDGE, PREVALENCE AND ATTITUDE AMONG SECONDARY SCHOOL STUDENTS IN ILALA DISTRICT DSM.",2003,MUNG’ONG’O
BPH000015,ERRORS OF OMISSION AND COMMISSION IN PRESCRIPTION WRITING IN THE MEDICAL WARD AT MNH. .,2003,MUGOYELA
BPH000016,THE ANTI-PYRETIO ROTIVITY OF FICUS SANSIBARICA,2003,HAULE
BPH000017,ANALYSIS OF PARACETAMOL TABLET PRODUCTS CIRCULATING IN THE TANZANIAN MARKET.,2003,MUNG’ONG’O
BPH000018,INVESTIGATION OF THE HYPOGLYCEMIC ACTIVITY OF ADHATODA ENGLERIANA (LINDAU) C.B. CLARKE.,2004,HAULE
BPH000019,DISPENSING PRACTICES AND QUALITY OF AMOXYCILLIN PREPARATIONS IN COMMUNITY PHARMACIES ON TANZANIAN MARKET.,2004,MUGOYELA
BPH000020,QUALITY OF METRONIDAZOLE TABLES MARKETED IN DSM,2004,MUNG’ONG’O
BPH000021,ANALYSIS OF QUININE PREPARATIONS CIRCULATING IN TANZANIA 2003/2004,2004,MUNG’ONG’O
BPH000022,IN VITRO MICRO-TEST FOR THE ASSESSMENT OF THE RESPONSE OF PLASMODIUM FALCIPARUM TO ETHANOLIC EXTRACT OF THE PLANT COLEUS KILIMANDISCHARICA,2004,HAULE
